feature,importance
V245,0.0003887136
V211,0.00037751647
id_21,0.00037230024
id_05,0.00037067002
V173,0.00036863275
V154,0.00036827204
M7,0.00036314645
D12,0.00035855843
M1,0.000357275
dist2,0.00035494028
V248,0.00035488966
V231,0.0003536537
V302,0.00035077325
V96,0.00034784258
V46,0.0003442156
V240,0.00034060603
V257,0.0003336198
id_01,0.0003330456
V262,0.00033244924
D9,0.0003322679
V236,0.00033137156
V237,0.00033074754
V114,0.0003305131
V15,0.00033050968
V52,0.000329193
V197,0.00032425098
V147,0.00032292475
V50,0.00032179963
V210,0.00032132596
id_13,0.00031496826
V270,0.00031295288
V167,0.0003067973
V255,0.00030599392
V223,0.00030574572
V216,0.00030512383
id_20,0.00029889328
V178,0.0002970761
V232,0.00029677871
V14,0.0002912778
D14,0.00029042276
V287,0.00028730885
id_02,0.0002839082
V297,0.0002763419
id_19,0.00027600618
V299,0.0002714448
V318,0.00027124025
D7,0.0002711023
V160,0.00026850807
V221,0.00026806595
id_18,0.00026737514
V11,0.00026618844
V273,0.00026053653
V138,0.0002582913
V39,0.00025752917
V132,0.000257196
V228,0.00025289165
V126,0.0002524967
id_15,0.00024915117
V95,0.00024338483
V209,0.00024315437
V214,0.00024106352
id_06,0.00023152017
V171,0.00022937081
V286,0.00022457165
V246,0.00022053329
V42,0.00021528172
V17,0.00021043174
V105,0.00021019984
V278,0.00020487847
V275,0.00020356868
id_12,0.0002020356
V21,0.0002015451
V60,0.00019284067
V157,0.00019065435
V277,0.00019039089
V22,0.00018923284
V328,0.00018863061
V18,0.00018308265
V212,0.00018093456
V238,0.00017443219
V59,0.00017341164
V337,0.00017277323
V144,0.0001724745
id_38,0.00016781894
V264,0.00016307898
V222,0.0001629945
V202,0.00015691278
V274,0.00015380875
V179,0.00015100001
V181,0.00015090937
V226,0.00014922796
V304,0.00014837299
V85,0.00014603983
V229,0.00014284787
V93,0.00014219928
V174,0.00014093512
V168,0.00014024967
V329,0.00013640133
V217,0.00013558997
V243,0.00013052269
V213,0.00012850897
V84,0.00012820978
V92,0.00012575106
V279,0.00012551474
V249,0.00012364262
V97,0.00012297055
V326,0.000117395684
V180,0.00011672385
V31,0.00011549099
V183,0.00011407852
id_23,0.000112351074
V263,0.000103356186
V235,0.00010174685
V334,0.00010054174
V162,9.2821465e-05
V233,9.110631e-05
V331,8.377551e-05
V205,8.354254e-05
V72,7.518711e-05
V199,6.889088e-05
V189,6.668067e-05
V185,6.069725e-05
V204,5.630536e-05
V177,5.227217e-05
id_37,5.1821866e-05
V219,3.400544e-05
V112,3.340593e-05
V239,2.9039911e-05
DeviceType,1.5511378e-05
V16,1.2578692e-05
id_28,7.4490126e-06
V182,4.1344324e-06
V256,3.3505291e-06
V41,0.0
id_32,0.0
id_35,0.0
id_27,0.0
id_29,0.0
V198,0.0
V195,0.0
V28,0.0
V241,0.0
V142,0.0
V153,0.0
V27,0.0
V252,0.0
V65,0.0
V122,0.0
V269,0.0
V68,0.0
V88,0.0
V89,0.0
V1,0.0
V305,0.0
V325,0.0
V322,0.0
V117,0.0
V119,0.0
V330,0.0
V327,0.0
V107,0.0
id_22,0.0
